まさや-名詞-固有名詞-人名-名-*-*,まさや,マサヤ,名詞,固有名詞,人名,名,*,*
:-補助記号-一般-*-*-*-*,:,キゴウ,補助記号,一般,*,*,*,*
 -空白-*-*-*-*-*, ,キゴウ,空白,*,*,*,*,*
ようこ-名詞-固有名詞-人名-名-*-*,ようこ,ヨウコ,名詞,固有名詞,人名,名,*,*
さん-接尾辞-名詞的-一般-*-*-*,さん,サン,接尾辞,名詞的,一般,*,*,*
、-補助記号-読点-*-*-*-*,、,、,補助記号,読点,*,*,*,*
らいしゅう-名詞-普通名詞-副詞可能-*-*-*,らいしゅう,ライシュウ,名詞,普通名詞,副詞可能,*,*,*
は-助詞-係助詞-*-*-*-*,は,ハ,助詞,係助詞,*,*,*,*
いもうと-名詞-普通名詞-一般-*-*-*,いもうと,イモウト,名詞,普通名詞,一般,*,*,*
の-助詞-格助詞-*-*-*-*,の,ノ,助詞,格助詞,*,*,*,*
たん生-名詞-普通名詞-サ変可能-*-*-*,たん生,タンジョウ,名詞,普通名詞,サ変可能,*,*,*
日-名詞-普通名詞-副詞可能-*-*-*,日,ヒ,名詞,普通名詞,副詞可能,*,*,*
です-助動詞-*-*-*-助動詞-デス-終止形-一般,です,デス,助動詞,*,*,*,助動詞-デス,終止形-一般
。-補助記号-句点-*-*-*-*,。,。,補助記号,句点,*,*,*,*
だ-助動詞-*-*-*-助動詞-ダ-終止形-一般,だ,ダ,助動詞,*,*,*,助動詞-ダ,終止形-一般
から-助詞-接続助詞-*-*-*-*,から,カラ,助詞,接続助詞,*,*,*,*
プレゼント-名詞-普通名詞-サ変可能-*-*-*,プレゼント,プレゼント,名詞,普通名詞,サ変可能,*,*,*
を-助詞-格助詞-*-*-*-*,を,ヲ,助詞,格助詞,*,*,*,*
かう-動詞-一般-*-*-五段-ワア行-連用形-一般,かう,カイ,動詞,一般,*,*,五段-ワア行,連用形-一般
たい-助動詞-*-*-*-助動詞-タイ-終止形-一般,たい,タイ,助動詞,*,*,*,助動詞-タイ,終止形-一般
きょう-名詞-普通名詞-副詞可能-*-*-*,きょう,キョウ,名詞,普通名詞,副詞可能,*,*,*
いっしょ-名詞-普通名詞-サ変可能-*-*-*,いっしょ,イッショ,名詞,普通名詞,サ変可能,*,*,*
に-助詞-格助詞-*-*-*-*,に,ニ,助詞,格助詞,*,*,*,*
かいもの-名詞-普通名詞-サ変可能-*-*-*,かいもの,カイモノ,名詞,普通名詞,サ変可能,*,*,*
いく-動詞-非自立可能-*-*-五段-カ行-連用形-一般,いく,イキ,動詞,非自立可能,*,*,五段-カ行,連用形-一般
ます-助動詞-*-*-*-助動詞-マス-未然形-一般,ます,マセ,助動詞,*,*,*,助動詞-マス,未然形-一般
ぬ-助動詞-*-*-*-助動詞-ヌ-終止形-撥音便,ぬ,ン,助動詞,*,*,*,助動詞-ヌ,終止形-撥音便
か-助詞-終助詞-*-*-*-*,か,カ,助詞,終助詞,*,*,*,*
はい-感動詞-一般-*-*-*-*,はい,ハイ,感動詞,一般,*,*,*,*
いい-形容詞-非自立可能-*-*-形容詞-終止形-一般,いい,イイ,形容詞,非自立可能,*,*,形容詞,終止形-一般
